iter	MultiClass
0	1.45072482
1	1.33590389
2	1.252799289
3	1.189030293
4	1.138140374
5	1.093413808
6	1.056647686
7	1.022608381
8	0.9948332612
9	0.9691287467
10	0.9480663182
11	0.9310467289
12	0.9149037642
13	0.9007826486
14	0.8890333514
15	0.8786798824
16	0.8683731635
17	0.8585880755
18	0.8514980089
19	0.8444937501
20	0.8377991542
21	0.8331032685
22	0.8273367956
23	0.821798564
24	0.817889765
25	0.8127560621
26	0.8093163505
27	0.8057270065
28	0.8041406237
29	0.8013627666
30	0.7985479071
31	0.7964002412
32	0.7943388219
33	0.792035414
34	0.7894119119
35	0.7879303034
36	0.7861793726
37	0.7840554137
38	0.7829746841
39	0.7817792724
40	0.7804464068
41	0.7798467232
42	0.7788073469
43	0.77794149
44	0.7772044858
45	0.7765477463
46	0.7758794102
47	0.7749799289
48	0.774734347
49	0.7740893444
50	0.7727892739
51	0.771533315
52	0.7712354824
53	0.7708168185
54	0.770372775
55	0.7699148542
56	0.7690114926
57	0.7684895688
58	0.7680997335
59	0.7676844676
60	0.767315364
61	0.7667686234
62	0.7664396858
63	0.7656195524
64	0.7652085569
65	0.7648262602
66	0.7647156633
67	0.7641083748
68	0.7640978219
69	0.7635202292
70	0.7631911676
71	0.7630422362
72	0.7629245511
73	0.7624707705
74	0.7623788964
75	0.7620560968
76	0.7612388211
77	0.7604182301
78	0.7602879212
79	0.7600725672
80	0.7600645328
81	0.7598352971
82	0.7594427529
83	0.7594347003
84	0.7591657438
85	0.7584083705
86	0.758036853
87	0.7576880346
88	0.7575551269
89	0.757544768
90	0.7572258764
91	0.7566446677
92	0.7564664125
93	0.7562089113
94	0.755725811
95	0.7556467908
96	0.755309284
97	0.7547538712
98	0.7547434588
99	0.7545088441
100	0.7543382037
101	0.7543262921
102	0.7541672582
103	0.7539860471
104	0.7539749006
105	0.7536665911
106	0.753507759
107	0.753299231
108	0.7529660323
109	0.752604472
110	0.7525193973
111	0.7523789465
112	0.7523413674
113	0.7521903429
114	0.7516577662
115	0.7516407083
116	0.7513468977
117	0.7512652435
118	0.751199559
119	0.7507552445
120	0.7500761027
121	0.7500641165
122	0.7499346592
123	0.7498638965
124	0.749725662
125	0.7492821764
126	0.7490654215
127	0.7488868369
128	0.7488756331
129	0.7488633031
130	0.7484180386
131	0.7480822971
132	0.7479681616
133	0.7475863722
134	0.7475043605
135	0.7472275334
136	0.7470564475
137	0.7469335657
138	0.7467245274
139	0.7466361559
140	0.7462824894
141	0.7461753617
142	0.746069248
143	0.7459871705
144	0.7458875882
145	0.7457126444
146	0.7457017103
147	0.745460831
148	0.7454487512
149	0.7453774014
150	0.7453196455
151	0.7451449172
152	0.744973749
153	0.7446684629
154	0.7446017789
155	0.7443442458
156	0.7441883043
157	0.744171149
158	0.7438201281
159	0.7437170206
160	0.7434907964
161	0.7432667319
162	0.7432495055
163	0.7432019892
164	0.743109731
165	0.7430420658
166	0.7429862019
167	0.7428968274
168	0.7428332926
169	0.7428195847
170	0.7428017184
171	0.7427760574
172	0.7427643023
173	0.7427517002
174	0.7427411518
175	0.7426401115
176	0.7424392814
177	0.7423468123
178	0.742246376
179	0.7422097478
180	0.7421977261
181	0.742186693
182	0.7421750483
183	0.7420789832
184	0.7420250827
185	0.7418514496
186	0.7418389185
187	0.7416952956
188	0.7416839977
189	0.7414263536
190	0.7413984602
191	0.7413857882
192	0.7411673187
193	0.7409805251
194	0.7409685508
195	0.740956689
196	0.7409441281
197	0.7408476964
198	0.7406976313
199	0.7406857254
200	0.7406727563
201	0.7406360872
202	0.7406037366
203	0.7405915096
204	0.7404958897
205	0.7404839897
206	0.7403737786
207	0.7403538966
208	0.7403240393
209	0.7402197491
210	0.7401176812
211	0.7400956338
212	0.740050691
213	0.7400385886
214	0.7397847696
215	0.7396585118
216	0.7395797684
217	0.73953057
218	0.7392561118
219	0.7392443225
220	0.7391827104
221	0.7390031057
222	0.7389491921
223	0.7389326095
224	0.7389205494
225	0.7389094164
226	0.7387988411
227	0.7387875804
228	0.7387141408
229	0.7386971796
230	0.7386850972
231	0.7386188603
232	0.7385993997
233	0.7385733768
234	0.738523843
235	0.7384994909
236	0.7384876399
237	0.7384391266
238	0.7383855469
239	0.7383731121
240	0.738361973
241	0.738350294
242	0.7383061704
243	0.7378772002
244	0.737821549
245	0.7378093968
246	0.7377956639
247	0.7377777463
248	0.7377663507
249	0.7377466807
250	0.7377351132
251	0.737694739
252	0.7376669581
253	0.7375888151
