iter	Passed	Remaining
0	114	114856
1	160	80163
2	207	68902
3	251	62714
4	298	59330
5	345	57252
6	401	56893
7	453	56244
8	503	55409
9	555	54973
10	615	55306
11	664	54696
12	712	54130
13	763	53803
14	816	53592
15	863	53085
16	907	52471
17	954	52096
18	1009	52120
19	1056	51745
20	1104	51472
21	1156	51393
22	1208	51317
23	1280	52059
24	1336	52127
25	1392	52157
26	1445	52091
27	1498	52011
28	1551	51941
29	1601	51787
30	1651	51623
31	1700	51444
32	1753	51390
33	1805	51287
34	1853	51105
35	1905	51020
36	1955	50885
37	2002	50683
38	2047	50455
39	2094	50276
40	2143	50146
41	2191	49982
42	2237	49800
43	2287	49704
44	2338	49629
45	2392	49616
46	2441	49508
47	2492	49425
48	2541	49321
49	2592	49255
50	2647	49258
51	2698	49193
52	2746	49082
53	2797	49008
54	2846	48911
55	2898	48864
56	2949	48788
57	2998	48703
58	3045	48577
59	3096	48512
60	3150	48492
61	3199	48411
62	3248	48314
63	3299	48253
64	3350	48192
65	3404	48177
66	3457	48141
67	3507	48073
68	3556	47990
69	3606	47913
70	3659	47883
71	3710	47823
72	3761	47765
73	3812	47702
74	3864	47661
75	3912	47567
76	3964	47527
77	4016	47472
78	4067	47425
79	4117	47350
80	4166	47267
81	4213	47171
82	4265	47126
83	4314	47046
84	4363	46974
85	4413	46902
86	4462	46833
87	4514	46791
88	4566	46737
89	4615	46665
90	4664	46595
91	4714	46529
92	4767	46500
93	4816	46426
94	4867	46369
95	4914	46275
96	4960	46181
97	5014	46155
98	5061	46062
99	5106	45962
100	5152	45864
101	5197	45758
102	5245	45681
103	5291	45588
104	5338	45500
105	5382	45395
106	5427	45298
107	5478	45249
108	5526	45178
109	5574	45103
110	5624	45047
111	5673	44981
112	5728	44963
113	5777	44899
114	5828	44851
115	5876	44780
116	5926	44726
117	5977	44680
118	6026	44619
119	6079	44585
120	6131	44541
121	6181	44487
122	6237	44476
123	6286	44414
124	6335	44346
125	6383	44282
126	6436	44247
127	6489	44207
128	6540	44161
129	6590	44104
130	6645	44086
131	6696	44037
132	6745	43969
133	6798	43933
134	6852	43908
135	6903	43858
136	6952	43795
137	7004	43750
138	7060	43733
139	7111	43682
140	7162	43633
141	7212	43581
142	7266	43548
143	7316	43492
144	7368	43446
145	7416	43380
146	7465	43320
147	7514	43258
148	7560	43179
149	7606	43103
150	7654	43040
151	7701	42967
152	7751	42911
153	7800	42850
154	7847	42783
155	7898	42732
156	7943	42652
157	7991	42587
158	8042	42540
159	8100	42526
160	8157	42509
161	8214	42491
162	8271	42474
163	8319	42409
164	8370	42360
165	8416	42284
166	8462	42208
167	8508	42138
168	8561	42097
169	8617	42072
170	8672	42042
171	8728	42018
172	8781	41976
173	8832	41927
174	8878	41857
175	8928	41803
176	8977	41741
177	9028	41692
178	9073	41618
179	9119	41544
180	9164	41468
181	9212	41404
182	9265	41366
183	9323	41349
184	9378	41314
185	9429	41267
186	9485	41238
187	9543	41218
188	9594	41172
189	9651	41147
190	9707	41116
191	9766	41099
192	9817	41051
193	9869	41002
194	9926	40980
195	9989	40976
196	10044	40942
197	10099	40906
198	10155	40878
199	10212	40849
200	10266	40811
201	10319	40768
202	10376	40739
203	10434	40714
204	10487	40672
205	10543	40639
206	10598	40602
207	10655	40574
208	10706	40520
209	10754	40455
210	10802	40392
211	10853	40344
212	10901	40278
213	10948	40211
214	10996	40150
215	11048	40101
216	11097	40041
217	11143	39971
218	11189	39905
219	11237	39842
220	11287	39786
221	11343	39753
222	11398	39716
223	11454	39681
224	11507	39637
225	11564	39604
226	11618	39564
227	11672	39522
228	11729	39490
229	11788	39467
230	11845	39434
231	11900	39394
232	11949	39334
233	12005	39299
234	12061	39264
235	12116	39225
236	12173	39190
237	12230	39157
238	12286	39121
239	12342	39083
240	12396	39040
241	12453	39006
242	12506	38961
243	12563	38926
244	12618	38884
245	12673	38844
246	12722	38786
247	12770	38723
248	12817	38659
249	12869	38607
250	12917	38545
251	12965	38484
252	13012	38420
253	13058	38351
254	13105	38287
255	13157	38238
256	13204	38173
257	13252	38114
258	13310	38080
259	13368	38048
260	13422	38004
261	13478	37964
262	13529	37913
263	13587	37880
264	13644	37842
265	13696	37795
266	13747	37742
267	13806	37709
268	13861	37667
269	13916	37624
270	13972	37586
271	14024	37537
272	14072	37475
273	14119	37410
274	14167	37350
275	14221	37306
276	14271	37250
277	14319	37188
278	14367	37128
279	14415	37069
280	14467	37017
281	14523	36978
282	14578	36935
283	14633	36892
284	14691	36856
285	14750	36823
286	14806	36784
287	14862	36744
288	14918	36702
289	14974	36662
290	15028	36614
291	15082	36569
292	15138	36527
293	15192	36482
294	15240	36422
295	15288	36362
296	15335	36299
297	15385	36243
298	15441	36203
299	15496	36158
300	15550	36113
301	15604	36065
302	15659	36021
303	15715	35980
304	15769	35934
305	15823	35886
306	15880	35846
307	15935	35802
308	15990	35758
309	16047	35719
310	16106	35682
311	16160	35635
312	16211	35583
313	16265	35534
314	16321	35491
315	16377	35449
316	16429	35398
317	16484	35353
318	16539	35309
319	16595	35265
320	16651	35223
321	16705	35174
322	16760	35129
323	16815	35085
324	16869	35036
325	16923	34989
326	16975	34937
327	17024	34879
328	17072	34818
329	17119	34758
330	17170	34703
331	17220	34649
332	17267	34585
333	17313	34524
334	17361	34463
335	17411	34408
336	17464	34359
337	17524	34322
338	17577	34273
339	17632	34227
340	17690	34188
341	17747	34145
342	17799	34093
343	17856	34051
344	17913	34009
345	17969	33966
346	18024	33919
347	18078	33871
348	18134	33826
349	18189	33779
350	18240	33726
351	18291	33673
352	18349	33631
353	18399	33576
354	18450	33523
355	18501	33468
356	18558	33426
357	18607	33369
358	18655	33310
359	18704	33252
360	18755	33199
361	18807	33146
362	18853	33085
363	18899	33022
364	18949	32966
365	19001	32914
366	19047	32852
367	19094	32792
368	19140	32730
369	19189	32674
370	19244	32626
371	19294	32572
372	19343	32516
373	19394	32462
374	19445	32409
375	19496	32355
376	19542	32294
377	19599	32250
378	19648	32193
379	19699	32142
380	19746	32081
381	19791	32019
382	19839	31960
383	19890	31908
384	19941	31855
385	19991	31800
386	20043	31748
387	20096	31697
388	20150	31650
389	20197	31590
390	20243	31530
391	20292	31473
392	20342	31420
393	20390	31362
394	20440	31307
395	20488	31249
396	20538	31195
397	20596	31153
398	20654	31110
399	20708	31062
400	20761	31013
401	20817	30967
402	20873	30921
403	20932	30880
404	20991	30839
405	21053	30801
406	21108	30754
407	21155	30695
408	21205	30641
409	21256	30588
410	21310	30540
411	21356	30480
412	21402	30419
413	21450	30362
414	21505	30314
415	21554	30259
416	21604	30205
417	21658	30156
418	21711	30105
419	21767	30059
420	21820	30009
421	21877	29964
422	21929	29912
423	21985	29866
424	22040	29819
425	22095	29772
426	22149	29722
427	22204	29675
428	22256	29623
429	22311	29575
430	22363	29524
431	22420	29479
432	22472	29426
433	22523	29374
434	22578	29325
435	22633	29278
436	22687	29228
437	22742	29181
438	22795	29131
439	22849	29081
440	22902	29031
441	22957	28982
442	23012	28934
443	23065	28884
444	23114	28827
445	23163	28772
446	23216	28721
447	23272	28674
448	23325	28624
449	23381	28577
450	23437	28530
451	23490	28480
452	23541	28426
453	23595	28376
454	23646	28323
455	23701	28275
456	23753	28224
457	23803	28168
458	23853	28114
459	23904	28062
460	23952	28005
461	24000	27948
462	24052	27896
463	24105	27845
464	24152	27788
465	24200	27731
466	24246	27672
467	24294	27616
468	24344	27562
469	24391	27504
470	24436	27445
471	24482	27387
472	24529	27329
473	24579	27275
474	24627	27219
475	24673	27161
476	24720	27104
477	24771	27051
478	24822	26999
479	24870	26942
480	24917	26886
481	24965	26830
482	25016	26777
483	25068	26726
484	25116	26670
485	25164	26613
486	25212	26558
487	25268	26511
488	25325	26464
489	25379	26414
490	25431	26363
491	25486	26315
492	25539	26264
493	25595	26217
494	25648	26167
495	25703	26117
496	25755	26066
497	25812	26019
498	25866	25969
499	25920	25920
500	25970	25866
501	26026	25819
502	26080	25768
503	26134	25719
504	26186	25668
505	26244	25621
506	26298	25572
507	26354	25524
508	26406	25472
509	26461	25424
510	26514	25372
511	26569	25324
512	26621	25272
513	26678	25225
514	26731	25174
